MAC,Vendor,Country
88-D9-8F,Juniper Networks,US
78-50-7C,Juniper Networks,US
F0-7C-C7,Juniper Networks,US
AC-80-0A,Sony Corporation,JP
58-C9-35,Chiun Mai Communication System_ Inc,TW
E0-30-F9,Juniper Networks,US
4C-73-4F,Juniper Networks,US
D4-5A-3F,Juniper Networks,US
04-69-8F,Juniper Networks,US
00-05-85,Juniper Networks,US
88-90-09,Juniper Networks,US
00-CC-34,Juniper Networks,US
1C-3B-62,HMD Global Oy,FI
A4-A5-28,Sichuan Tianyi Comheart Telecom Co._LTD,CN
E8-78-EE,New H3C Technologies Co._ Ltd,CN
EC-A7-AD,Barrot Technology Co._Ltd.,CN
00-30-2B,Inalp Solutions AG,CH
74-73-B4,Apple_ Inc.,US
A4-FC-14,Apple_ Inc.,US
A8-1A-F1,Apple_ Inc.,US
70-58-46,Trig Avionics Limited,GB
08-91-A3,Amazon Technologies Inc.,US
0C-D9-23,GOCLOUD Networks(GAOKE Networks),CN
44-DB-D2,YEALINK(XIAMEN) NETWORK TECHNOLOGY CO._LTD.,CN
F0-74-8D,Ruijie Networks Co._LTD,CN
CC-08-FA,Apple_ Inc.,US
90-9B-6F,Apple_ Inc.,US
E0-DC-A0,Siemens Industrial Automation Products Ltd._ Chengdu,CN
9C-DB-AF,HUAWEI TECHNOLOGIES CO._LTD,CN
0C-2E-57,HUAWEI TECHNOLOGIES CO._LTD,CN
E8-D7-75,HUAWEI TECHNOLOGIES CO._LTD,CN
84-39-8F,Fortinet_ Inc.,US
B4-ED-D5,Quectel Wireless Solutions Co._Ltd.,CN
5C-64-F1,Cisco Systems_ Inc,US
B8-38-EF,ADVA Optical Networking Ltd.,GB
64-EC-65,vivo Mobile Communication Co._ Ltd.,CN
F4-24-62,Selcom Electronics (Shanghai) Co._ Ltd,CN
F4-A1-7F,Marquardt Electronics Technology (Shanghai) Co.Ltd,CN
48-BC-E1,Samsung Electronics Co._Ltd,KR
F8-3C-80,MITSUMI ELECTRIC CO._LTD.,JP
D8-3A-DD,Raspberry Pi Trading Ltd,GB
70-F8-AE,Microsoft Corporation,US
00-0F-2A,Cableware Electronics,US
2C-D1-C6,Murata Manufacturing Co._ Ltd.,JP
08-42-18,Asyril SA,CH
D8-5B-22,Shenzhen Hohunet Technology Co._ Ltd,CN
D0-D0-03,Samsung Electronics Co._Ltd,KR
5C-76-D5,Nokia,CA
8C-7A-00,Nokia,CA
B8-5C-EE,Baidu Online Network Technology (Beijing) Co._ Ltd,CN
28-B5-E8,Texas Instruments,US
08-C3-B3,TCL King Electrical Appliances(Huizhou)Co._Ltd,CN
20-45-69,ITEL MOBILE LIMITED,HK
D4-63-52,Vutility Inc.,US
50-5A-65,AzureWave Technology Inc.,TW
C4-A5-59,IEEE Registration Authority,US
BC-64-D9,GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP._LTD,CN
2C-AB-33,Texas Instruments,US
DC-AC-6F,Everytale Inc,US
F4-15-32,PETAiO (NanJing)_ Inc.,CN
30-1F-48,zte corporation,CN
7C-C7-4A,Fiberhome Telecommunication Technologies Co._LTD,CN
